Grupo,test,TCNO,Output,Decision
GrupoC,z50,0,NA,TRUE
GrupoC,z51,0,NA,TRUE
GrupoC,z52,0,NA,TRUE
GrupoC,z53,0,NA,TRUE
GrupoC,z54,0,NA,TRUE
GrupoC,z55,0,NA,TRUE
GrupoC,z56,0,NA,TRUE
GrupoC,z57,0,NA,TRUE
GrupoC,z58,0,NA,TRUE
GrupoC,z59,0,NA,TRUE
GrupoD,z00,0,NA,TRUE
GrupoD,z01,1,NA,FALSE
GrupoD,z02,1,NA,FALSE
GrupoD,z03,1,NA,FALSE
GrupoD,z04,1,NA,FALSE
GrupoD,z05,1,NA,FALSE
GrupoD,z06,1,NA,FALSE
GrupoD,z07,1,NA,FALSE
GrupoD,z08,1,NA,FALSE
GrupoD,z09,1,NA,FALSE
GrupoD,z10,1,NA,FALSE
GrupoD,z11,1,NA,FALSE
GrupoD,z12,1,NA,FALSE
GrupoD,z13,1,NA,FALSE
GrupoD,z14,1,NA,FALSE
GrupoD,z15,1,NA,FALSE
GrupoD,z16,1,NA,FALSE
GrupoD,z17,1,NA,FALSE
GrupoD,z18,1,NA,FALSE
GrupoD,z19,1,NA,FALSE
GrupoD,z20,1,NA,FALSE
GrupoD,z21,1,NA,FALSE
GrupoD,z22,1,NA,FALSE
GrupoD,z23,1,NA,FALSE
GrupoD,z24,1,NA,FALSE
GrupoD,z25,1,NA,FALSE
GrupoD,z26,0,NA,TRUE
GrupoD,z27,1,NA,FALSE
GrupoD,z28,1,NA,FALSE
GrupoD,z29,1,NA,FALSE
GrupoD,z30,1,NA,FALSE
GrupoD,z31,1,NA,FALSE
GrupoD,z32,1,NA,FALSE
GrupoD,z33,1,NA,FALSE
GrupoD,z34,1,NA,FALSE
GrupoD,z35,1,NA,FALSE
GrupoD,z36,1,NA,FALSE
GrupoD,z37,1,NA,FALSE
GrupoD,z38,1,NA,FALSE
GrupoD,z39,1,NA,FALSE
GrupoD,z40,1,NA,FALSE
GrupoD,z41,1,NA,FALSE
GrupoD,z42,1,NA,FALSE
GrupoD,z43,1,NA,FALSE
GrupoD,z44,1,NA,FALSE
