Grupo,test,TCNO,Decision
GrupoD,z22,1,FALSE
GrupoD,z23,1,FALSE
GrupoD,z24,1,FALSE
GrupoD,z25,1,FALSE
GrupoD,z26,0,TRUE
GrupoD,z27,1,FALSE
GrupoD,z28,1,FALSE
GrupoD,z29,1,FALSE
GrupoD,z30,1,FALSE
GrupoD,z31,1,FALSE
GrupoD,z32,1,FALSE
GrupoD,z33,1,FALSE
GrupoD,z34,1,FALSE
GrupoD,z35,1,FALSE
GrupoD,z36,1,FALSE
GrupoD,z37,1,FALSE
GrupoD,z38,1,FALSE
GrupoD,z39,1,FALSE
GrupoD,z40,1,FALSE
GrupoD,z41,1,FALSE
GrupoD,z42,1,FALSE
GrupoD,z43,1,FALSE
GrupoD,z44,1,FALSE
GrupoD,z45,1,FALSE
GrupoD,z46,1,FALSE
GrupoD,z48,1,FALSE
GrupoD,z49,1,FALSE
GrupoD,z50,1,FALSE
GrupoD,z51,1,FALSE
GrupoD,z52,0,TRUE
GrupoD,z53,1,FALSE
GrupoD,z54,1,FALSE
GrupoD,z55,1,FALSE
GrupoD,z56,1,FALSE
GrupoD,z57,0,TRUE
GrupoD,z58,1,FALSE
GrupoD,z59,1,FALSE
GrupoE,z00,0,TRUE
GrupoE,z01,0,TRUE
GrupoE,z02,0,TRUE
GrupoE,z03,0,TRUE
GrupoE,z04,0,TRUE
GrupoE,z05,0,TRUE
GrupoE,z06,0,TRUE
GrupoE,z07,0,TRUE
GrupoE,z08,0,TRUE
GrupoE,z09,0,TRUE
GrupoE,z10,0,TRUE
GrupoE,z11,0,TRUE
GrupoE,z12,0,TRUE
GrupoE,z13,0,TRUE
GrupoE,z14,0,TRUE
GrupoE,z15,0,TRUE
GrupoE,z16,0,TRUE
GrupoE,z17,0,TRUE
GrupoE,z18,0,TRUE
GrupoE,z19,0,TRUE
GrupoE,z20,0,TRUE
GrupoE,z21,0,TRUE
GrupoE,z22,0,TRUE
GrupoE,z23,0,TRUE
GrupoE,z24,0,TRUE
GrupoE,z25,0,TRUE
GrupoE,z26,0,TRUE
GrupoE,z27,0,TRUE
GrupoE,z28,0,TRUE
GrupoE,z29,0,TRUE
GrupoE,z30,0,TRUE
GrupoE,z31,0,TRUE
GrupoE,z32,0,TRUE
GrupoE,z33,0,TRUE
GrupoE,z34,0,TRUE
GrupoE,z35,0,TRUE
GrupoE,z36,0,TRUE
GrupoE,z37,0,TRUE
GrupoE,z38,0,TRUE
GrupoE,z39,0,TRUE
GrupoE,z40,0,TRUE
GrupoE,z41,0,TRUE
