Grupo,E2.O
GrupoA,10
GrupoB,9.91
GrupoC,9.65
GrupoD,10
GrupoE,10
GrupoF,8.6
GrupoG,10
GrupoH,10
GrupoI,9.91
GrupoJ,10
GrupoK,9.74
GrupoL,9.82
GrupoM,9.91
GrupoN,9.91
GrupoO,10
GrupoP,9.91
GrupoR,9.91
GrupoS,10
GrupoT,9.82
GrupoZ,9.74
